farmer_id,coop_id,coop_name,farm_size_acres,baseline_irrigation_method,baseline_farm_income_usd,water_source_type,distance_to_market_km
3001,1,Coop_01,2.44,None,471.26,River,0.3
3002,1,Coop_01,2.63,Manual,826.21,Borehole,0.29
3003,1,Coop_01,2.24,Partial Drip,871.43,Well,1.72
3004,1,Coop_01,1.93,None,909.37,Rain,1.32
3005,1,Coop_01,0.5,Manual,371.49,Well,4.68
3006,1,Coop_01,0.72,None,324.47,Rain,4.14
3007,1,Coop_01,1.31,None,174.92,Rain,3.42
3008,1,Coop_01,0.34,Partial Drip,170.04,Rain,7.04
3009,1,Coop_01,1.42,None,227.82,Rain,14.03
3010,1,Coop_01,2.71,Manual,350.84,Rain,4.23
3011,1,Coop_01,1.68,Drip,471.05,Rain,2.21
3012,1,Coop_01,1.02,Manual,534.15,River,0.9
3013,1,Coop_01,0.29,None,70.72,River,6.14
3014,1,Coop_01,2.25,Partial Drip,167.21,River,5.26
3015,1,Coop_01,2.77,Partial Drip,151.33,Borehole,1.97
3016,1,Coop_01,2.26,Manual,305.25,Well,2.41
3017,1,Coop_01,2.92,Partial Drip,145.69,River,3.7
3018,1,Coop_01,1.43,None,579.58,River,11.31
3019,1,Coop_01,1.56,Manual,169.44,River,7.04
3020,2,Coop_02,2.84,Manual,455.21,Rain,13.27
3021,2,Coop_02,2.47,Manual,404.23,Borehole,10.74
3022,2,Coop_02,1.14,None,421.31,Borehole,0.58
3023,2,Coop_02,0.88,None,415.79,Rain,3.82
3024,2,Coop_02,1.58,Manual,405.38,Rain,14.32
3025,2,Coop_02,1.14,Manual,144.32,Rain,1.42
3026,2,Coop_02,2.16,Manual,843.12,Rain,0.19
3027,2,Coop_02,1.93,Manual,286.09,Rain,2.97
3028,2,Coop_02,1.77,Manual,417.41,Rain,1.36
3029,2,Coop_02,2.25,None,843.72,Rain,8.01
3030,2,Coop_02,0.66,Manual,837.56,River,4.47
3031,2,Coop_02,2.11,None,71.86,Rain,14.11
3032,2,Coop_02,1.34,Manual,351.35,River,2.09
3033,2,Coop_02,0.56,Partial Drip,249.45,Borehole,20.13
3034,2,Coop_02,1.67,None,498.53,Borehole,11.38
3035,2,Coop_02,2.73,Manual,105.1,River,9.7
3036,3,Coop_03,2.39,Manual,95.42,Rain,7.69
3037,3,Coop_03,2.09,Manual,502.17,Borehole,0.88
3038,3,Coop_03,1.76,Manual,292.64,Well,0.97
3039,3,Coop_03,0.3,Manual,227.6,River,5.36
3040,3,Coop_03,1.81,None,120.7,River,1.44
3041,3,Coop_03,1.87,Drip,628.03,Well,3.49
3042,3,Coop_03,1.84,Manual,325.72,Well,3.46
3043,3,Coop_03,1.82,Partial Drip,52.36,Rain,0.08
3044,3,Coop_03,2.8,None,274.41,River,19.64
3045,3,Coop_03,0.46,None,199.45,Borehole,4.07
3046,3,Coop_03,2.82,Manual,164.31,Rain,1.17
3047,3,Coop_03,2.1,None,157.68,Rain,5.97
3048,3,Coop_03,2.18,None,132.25,River,2.72
3049,3,Coop_03,0.95,Manual,111.65,Borehole,7.94
3050,3,Coop_03,2.7,None,478.17,Borehole,2.89
3051,3,Coop_03,2.1,None,373.54,Borehole,8.65
3052,3,Coop_03,1.24,None,371.06,Well,1.58
3053,3,Coop_03,2.9,Manual,242.14,River,5.07
3054,4,Coop_04,0.62,Drip,459.7,River,7.93
3055,4,Coop_04,0.99,None,171.13,Well,2.92
3056,4,Coop_04,0.91,None,972.58,Well,1.64
3057,4,Coop_04,2.88,Manual,1236.35,Rain,4.17
3058,4,Coop_04,0.69,None,677.3,Rain,0.24
3059,4,Coop_04,0.36,Partial Drip,275.72,Rain,8.22
3060,4,Coop_04,1.2,Manual,1087.95,Borehole,4.78
3061,4,Coop_04,2.0,None,861.13,Well,3.88
3062,4,Coop_04,2.13,Manual,83.06,Borehole,0.13
3063,4,Coop_04,1.86,Partial Drip,44.24,Well,8.34
3064,4,Coop_04,2.51,Manual,785.33,Rain,11.79
3065,4,Coop_04,0.79,None,411.28,Rain,2.43
3066,4,Coop_04,2.12,None,197.02,River,0.63
3067,4,Coop_04,2.17,Manual,435.81,Well,3.97
3068,4,Coop_04,1.41,Manual,507.08,River,2.66
3069,4,Coop_04,1.27,Partial Drip,495.49,Well,5.69
3070,5,Coop_05,2.32,None,283.81,Borehole,3.43
3071,5,Coop_05,1.32,None,445.15,Rain,4.26
3072,5,Coop_05,1.99,None,302.2,Well,4.03
3073,5,Coop_05,0.84,Partial Drip,252.47,Borehole,0.3
3074,5,Coop_05,1.76,None,401.94,River,6.12
3075,5,Coop_05,2.91,Manual,357.14,Borehole,6.04
3076,5,Coop_05,0.45,Partial Drip,355.15,Well,3.6
3077,5,Coop_05,0.89,Manual,413.92,Rain,2.36
3078,5,Coop_05,0.48,Partial Drip,287.29,River,1.43
3079,5,Coop_05,1.16,None,205.97,Rain,0.63
3080,5,Coop_05,0.57,Manual,77.45,Well,1.36
3081,5,Coop_05,1.35,Manual,348.38,Borehole,0.06
3082,5,Coop_05,2.92,None,159.44,Borehole,12.93
3083,5,Coop_05,2.78,None,225.73,Well,5.95
3084,5,Coop_05,1.5,Manual,392.62,Rain,6.68
3085,5,Coop_05,2.77,Drip,297.69,Well,1.62
3086,5,Coop_05,0.77,Manual,201.06,Borehole,1.55
3087,5,Coop_05,1.24,None,221.18,Well,8.4
3088,5,Coop_05,2.13,None,320.72,Well,14.11
3089,6,Coop_06,2.25,Manual,548.79,Well,0.9
3090,6,Coop_06,1.38,Partial Drip,300.33,River,0.82
3091,6,Coop_06,1.88,None,304.63,Well,0.07
3092,6,Coop_06,0.46,Manual,765.96,Well,28.47
3093,6,Coop_06,1.78,Partial Drip,258.87,River,1.61
3094,6,Coop_06,0.82,Partial Drip,67.46,Borehole,2.22
3095,6,Coop_06,0.56,Manual,915.66,Rain,8.47
3096,6,Coop_06,2.91,None,364.1,Well,0.72
3097,6,Coop_06,0.33,Partial Drip,884.56,Borehole,4.8
3098,6,Coop_06,2.95,Manual,615.24,River,2.88
3099,6,Coop_06,2.74,None,891.17,River,3.71
3100,6,Coop_06,2.17,Partial Drip,352.83,Well,3.39
3101,6,Coop_06,0.96,Manual,331.74,River,4.33
3102,6,Coop_06,1.19,Manual,448.63,Rain,0.82
3103,6,Coop_06,0.63,Manual,217.48,River,3.62
3104,7,Coop_07,1.91,None,127.82,Borehole,1.63
3105,7,Coop_07,0.74,None,306.45,Borehole,0.69
3106,7,Coop_07,1.16,None,131.12,River,4.94
3107,7,Coop_07,0.47,Partial Drip,605.01,Well,21.44
3108,7,Coop_07,1.73,Partial Drip,197.44,Rain,2.3
3109,7,Coop_07,1.52,Manual,505.46,River,0.15
3110,7,Coop_07,2.63,None,420.33,Rain,1.57
3111,7,Coop_07,1.29,None,127.54,Rain,1.33
