student_id,school_id,school_name,classroom_id,grade_level,gender,baseline_reading_score,attendance_rate
1001,1,School_01,01C1,4,F,22.76,0.65
1002,1,School_01,01C1,4,M,51.38,0.76
1003,1,School_01,01C1,4,M,76.58,0.61
1004,1,School_01,01C1,4,F,60.35,0.85
1005,1,School_01,01C1,4,F,33.38,0.66
1006,1,School_01,01C1,4,F,34.5,0.81
1007,1,School_01,01C1,4,M,10.5,0.81
1008,1,School_01,01C1,4,F,33.75,0.62
1009,1,School_01,01C1,4,F,30.93,0.87
1010,1,School_01,01C1,4,M,2.21,0.73
1011,1,School_01,01C1,4,F,34.11,0.81
1012,1,School_01,01C1,4,M,47.22,0.76
1013,1,School_01,01C1,4,F,32.99,0.63
1014,1,School_01,01C1,4,F,63.95,0.68
1015,1,School_01,01C1,4,F,44.73,0.61
1016,1,School_01,01C1,4,F,23.85,0.74
1017,1,School_01,01C1,4,F,19.7,0.78
1018,1,School_01,01C1,4,F,66.84,0.8
1019,1,School_01,01C1,4,M,59.77,0.63
1020,1,School_01,01C1,4,M,48.43,0.78
1021,1,School_01,01C1,4,F,24.82,0.69
1022,1,School_01,01C2,4,M,13.33,0.7
1023,1,School_01,01C2,4,M,31.46,0.6
1024,1,School_01,01C2,4,M,57.23,0.67
1025,1,School_01,01C2,4,F,62.89,0.63
1026,1,School_01,01C2,4,M,60.1,0.83
1027,1,School_01,01C2,4,F,51.63,0.72
1028,1,School_01,01C2,4,F,64.51,0.73
1029,1,School_01,01C2,4,F,68.59,0.82
1030,1,School_01,01C2,4,M,27.04,0.8
1031,1,School_01,01C2,4,M,52.23,0.87
1032,1,School_01,01C2,4,F,32.1,0.68
1033,1,School_01,01C2,4,F,100.0,0.75
1034,1,School_01,01C2,4,F,26.59,0.75
1035,1,School_01,01C2,4,M,46.74,0.71
1036,1,School_01,01C2,4,F,39.02,0.84
1037,1,School_01,01C2,4,M,34.31,0.86
1038,1,School_01,01C2,4,F,15.1,0.93
1039,1,School_01,01C2,4,M,28.83,0.93
1040,1,School_01,01C2,4,M,34.96,0.7
1041,1,School_01,01C2,4,M,50.14,0.67
1042,1,School_01,01C2,4,F,51.29,0.91
1043,1,School_01,01C2,4,F,30.96,0.68
1044,1,School_01,01C2,4,F,38.45,0.6
1045,1,School_01,01C2,4,M,0.0,0.68
1046,1,School_01,01C2,4,M,51.91,0.69
1047,1,School_01,01C2,4,F,41.77,0.78
1048,1,School_01,01C2,4,M,53.08,0.74
1049,1,School_01,01C3,4,F,6.62,0.7
1050,1,School_01,01C3,4,M,44.47,0.69
1051,1,School_01,01C3,4,F,31.82,0.7
1052,1,School_01,01C3,4,M,45.08,0.82
1053,1,School_01,01C3,4,F,44.31,0.94
1054,1,School_01,01C3,4,F,21.63,0.81
1055,1,School_01,01C3,4,M,29.49,0.85
1056,1,School_01,01C3,4,F,60.46,0.76
1057,1,School_01,01C3,4,F,56.74,0.63
1058,1,School_01,01C3,4,M,88.81,0.65
1059,1,School_01,01C3,4,M,79.13,0.61
1060,1,School_01,01C3,4,M,62.47,0.88
1061,1,School_01,01C3,4,F,23.75,0.84
1062,1,School_01,01C3,4,F,54.47,0.78
1063,1,School_01,01C3,4,F,37.23,0.64
1064,1,School_01,01C3,4,M,27.29,0.79
1065,1,School_01,01C3,4,F,61.27,0.89
1066,1,School_01,01C3,4,M,20.38,0.78
1067,1,School_01,01C3,4,M,38.51,0.91
1068,1,School_01,01C3,4,M,40.88,0.91
1069,1,School_01,01C3,4,M,20.26,0.85
1070,1,School_01,01C3,4,M,18.59,0.9
1071,1,School_01,01C3,4,F,57.35,0.63
1072,1,School_01,01C3,4,F,69.34,0.87
1073,1,School_01,01C3,4,F,50.86,0.6
1074,1,School_01,01C3,4,F,30.71,0.71
1075,1,School_01,01C3,4,F,65.99,0.68
1076,1,School_01,01C3,4,M,71.5,0.61
1077,1,School_01,01C3,4,F,68.17,0.83
1078,1,School_01,01C3,4,M,28.59,0.85
1079,1,School_01,01C3,4,F,27.65,0.73
1080,1,School_01,01C4,4,F,47.92,0.94
1081,1,School_01,01C4,4,M,63.21,0.75
1082,1,School_01,01C4,4,M,44.41,0.78
1083,1,School_01,01C4,4,F,62.0,0.68
1084,1,School_01,01C4,4,F,52.89,0.7
